Date,District,Header,Story,Source,Attack,Propaganda,Structural Discrimination,Material Damage,Reported status,year,type of incident,date_form
2014-11-29,Tempelhof-Schöneberg,Angriff aus transphober Motivation,"Ein 30-jähriger Mann wird gegen 05.00 Uhr in der Frobenstraße von einem unbekannten Mann aus transphober Motivation gestoßen, geschlagen und beraubt.",ReachOut,physical,,,,,2014,physical attack,2014 Nov 29
2014-10-26,Tempelhof-Schöneberg,Angriff aus transphober Motivation,Am 26.10.14 wird ein 30-jähriger Mann gegen 07.15 Uhr in der Potsdamer Straße aus einer Gruppe von unbekannten Personen aus transphober Motivation mit einem Stein beworfen und geschlagen.,ReachOut,physical,,,,,2014,physical attack,2014 Oct 26
2014-10-17,Mitte,LGBQT feindliche Schmiererei entdeckt!,Am Abend gegen 20.10 Uhr stellen Polizeibeamte eine Farbschmiererei an dem Denkmal für die im Nationalsozialismus verfolgten Homosexuellen fest.,Polizei Berlin,,,,yes,,2014,vandalism,2014 Oct 17
2014-10-12,Marzahn-Hellersdorf,Menschenfeindliche Parolen beim Sport,"Gegen 16:00 Uhr werden Fans des Fußballvereins ""Tennis Borussia Berlin"" beleidigt, angepöbelt und bedroht. Seit 14:00 Uhr hatten auf dem Sportplatz am Rosenhag die Herrenfußball-Teams des BSV Eintracht Mahlsdorf und der Tennis Borussia Berlin ein Spiel ausgetragen. Unter die Fans von Eintracht Mahlsdorf hatten sich auch bekannte Rechtsextreme aus dem Umfeld der NPD gemischt. Als nach dem Spiel die Fans von Tennis Borussia gerade abreisten, begannen aus den Reihen der Eintracht-Fans Pöbeleien. Darunter mischte sich auch ein Mahlsdorfer Spieler. Die Rechtsextremen schubsten die Borussia-Fans und beschimpfen sie u.a. als ""Schwuchteln"", ""Scheiß Transen"", ""N-Wort"" und diffamierten ihren Verein als ""Drecksjuden-Verein"". Dabei wurden die Borussia-Fans abgefilmt und bis aus dem Sportgelände heraus auf der Hönower Straße verfolgt.","Register Charlottenburg-Wilmersdorf; Antisemitismus-Register Berlin, Chronik Marzahn-Hellersdorf",verbal,,,,,2014,verbal attack,2014 Oct 12
2014-10-03,Charlottenburg-Wilmersdorf,Homosexuellenfeindliches Banner bei Stuttgarter Fans,"Am 3. Oktober 2014 hing im Olympiastadion in Westend ein homosexuellenfeindliches Transparent von Fans des VfB Stuttgart. Es war gegen die Mannschaft Hertha BSC Berlin gerichtet. Zu sehen waren zwei sich küssende und Händchen haltende Männer mit erigierten Penissen und heruntergelassenen Hosen. Aus ihren Mündern sprühte Speichel. Sie trugen eng anliegende Hemden. Einer war stark behaart, der andere hatte glatte Haut. Daneben stand: ""Hertha und der KSC."" Zwischen Hertha BSC Berlin und dem Karlsruher Sport-Club (KSC) besteht eine Fanfreundschaft. Die Kleidung der Männer war stereotypisierend gezeichnet. Die Darstellung des Kusses und der Erektionen sind abwertend, weil sie als abstoßend (Speichelfluss), triebhaft und gierig nach sexueller Befriedigung (Nacktheit, Erektion, Zungenkuss, öffentlicher Raum) gezeigt werden. Die Fanfreundschaft zwischen Hertha und KSC wird so als schwul abgewertet, wobei ""schwul"" pejorativ verwendet wird. Das Transparent war für Gastfans im G-Unterrang sichtbar und wurde toleriert.","Fußballfans gegen Homophobie, Hertha-Inside.de",,,,,,2014,,2014 Oct 03
2014-10-03,Mitte,Homophobe Aggression gegen ein schwules Pärchen,"Zwei Schwule werden auf dem U-Bahnhof Pankstraße in Gesundbrunnen gegen 1.35 Uhr in einem Waggon der U-Bahnlinie U8 von einer siebenköpfigen Gruppe, die sich ebenfalls im Waggon befand, aufgrund ihrer sexuellen Orientierung verbal angegriffen und ins Gesicht geschlagen.  Die 32 und 35 Jahre alten Männer werden leicht verletzt, lehnen eine ärztliche Behandlung aber ab. Die Täter können flüchten. Gegen sie wird Anzeige erstattet.",Polizei Berlin,physical,,,,,2014,physical attack,2014 Oct 03
2014-09-24,Tempelhof-Schöneberg,Angriff aus transphober Motivation,Auf der Potsdamer Straße ist gegen 11.20 Uhr ein 51-jähriger Mann aus transphober Motivation von einem unbekannten Mann gestoßen worden.,ReachOut,physical,,,,,2014,physical attack,2014 Sep 24
2014-09-21,Pankow,Homophober Angriff am S-Bahnhof Blankenburg,Zwei 20- und 21-jährige Männer werden gegen 00.50 Uhr auf dem S-Bahnhof Blankenburg von zwei Männern homophob beleidigt. Ein Mann wird von einem 18-jährigen Täter gegen ein Wartehäuschen gestoßen und der andere wird ins Gesicht geschlagen.,ReachOut,physical,,,,,2014,physical attack,2014 Sep 21
2014-09-13,Neukölln,Aus transphober Motivation geschlagen,Ein 50-jähriger Mann wird gegen 12.45 Uhr in der Sonnenallee von einem 34-jährigen Mann aus transphober Motivation geschlagen.,ReachOut ,physical,,,,,2014,physical attack,2014 Sep 13
2014-09-09,Friedrichshain-Kreuzberg,Hetze im Internet,Ein Mann hetzte auf der Internetplattform YouTube gegen Juden und Homosexuelle und leugnete die Existenz des NSU.,AGH Drucksache 17/14 651,,,,,,2014,,2014 Sep 09
