Date,District,Header,Story,Source,Attack,latitude,longitude,Propaganda,Structural Discrimination,Material Damage,Reported status
2014-11-29,Tempelhof-Schöneberg,Angriff aus transphober Motivation,"Ein 30-jähriger Mann wird gegen 05.00 Uhr in der Frobenstraße von einem unbekannten Mann aus transphober Motivation gestoßen, geschlagen und beraubt.",ReachOut,physical,52.4994474,13.3598819,Unknown,Unknown,Unknown,Unknown
2014-10-26,Tempelhof-Schöneberg,Angriff aus transphober Motivation,Am 26.10.14 wird ein 30-jähriger Mann gegen 07.15 Uhr in der Potsdamer Straße aus einer Gruppe von unbekannten Personen aus transphober Motivation mit einem Stein beworfen und geschlagen.,ReachOut,physical,52.4946602,13.361087,Unknown,Unknown,Unknown,Unknown
2014-10-03,Mitte,Homophobe Aggression gegen ein schwules Pärchen,"Zwei Schwule werden auf dem U-Bahnhof Pankstraße in Gesundbrunnen gegen 1.35 Uhr in einem Waggon der U-Bahnlinie U8 von einer siebenköpfigen Gruppe, die sich ebenfalls im Waggon befand, aufgrund ihrer sexuellen Orientierung verbal angegriffen und ins Gesicht geschlagen.  Die 32 und 35 Jahre alten Männer werden leicht verletzt, lehnen eine ärztliche Behandlung aber ab. Die Täter können flüchten. Gegen sie wird Anzeige erstattet.",Polizei Berlin,physical,52.5509201,13.384846,Unknown,Unknown,Unknown,Unknown
2014-09-24,Tempelhof-Schöneberg,Angriff aus transphober Motivation,Auf der Potsdamer Straße ist gegen 11.20 Uhr ein 51-jähriger Mann aus transphober Motivation von einem unbekannten Mann gestoßen worden.,ReachOut,physical,52.4946602,13.361087,Unknown,Unknown,Unknown,Unknown
2014-09-21,Pankow,Homophober Angriff am S-Bahnhof Blankenburg,Zwei 20- und 21-jährige Männer werden gegen 00.50 Uhr auf dem S-Bahnhof Blankenburg von zwei Männern homophob beleidigt. Ein Mann wird von einem 18-jährigen Täter gegen ein Wartehäuschen gestoßen und der andere wird ins Gesicht geschlagen.,ReachOut,physical,52.5910131,13.44264055059126,Unknown,Unknown,Unknown,Unknown
2014-09-13,Neukölln,Aus transphober Motivation geschlagen,Ein 50-jähriger Mann wird gegen 12.45 Uhr in der Sonnenallee von einem 34-jährigen Mann aus transphober Motivation geschlagen.,ReachOut ,physical,52.4646466,13.4730145,Unknown,Unknown,Unknown,Unknown
2014-09-09,Friedrichshain-Kreuzberg,Hetze im Internet,Ein Mann hetzte auf der Internetplattform YouTube gegen Juden und Homosexuelle und leugnete die Existenz des NSU.,AGH Drucksache 17/14 651,other,52.5123235,13.4719053,Unknown,Unknown,Unknown,Unknown
2014-07-24,Neukölln,Antisemitisch beleidigt und zu Boden gestoßen,"Ein 46-jähriger Mann wird gegen 20.00 Uhr in der Weisestraße von einem 63-Jährigen antisemitisch beleidigt und zu Boden gestoßen. Der 46-Jährige vermutet, dass er auch aufgrund seiner Homosexualität angegriffen wurde.",ReachOut /Polizei Berlin,verbal,52.4748495,13.4247504,Unknown,Unknown,Unknown,Unknown
2014-07-18,Friedrichshain-Kreuzberg,Mann als Schwuchtel beschimpft,"Ein Mann wird in Kreuzberg als Schwuchtel beschimpft, weil er auf einem Frauenfahrrad unterwegs ist.",Betroffener,verbal,52.4976443,13.411914,Unknown,Unknown,Unknown,Unknown
2014-06-28,Pankow,Facebook-Seite der NPD KV8 Pankow,"In einem Posting (11.06.) auf der Facebook-Seite des NPD KV8 Pankow wurde zur Blutspende aufgerufen, damit die Erhaltung des deutschen Blutes für die Zukunft sichergestellt wird. Am Ende des Postings stand, dass „homosexuelle Männer hierbei ausdrücklich unerwünscht [sind]“. Als „Beleg“ wurde auf die Seite des Österreichischen Roten Kreuzes verwiesen. Hier wurden ebenfalls Männer, die mit Männern Sex hatten, vom Blutspenden ausgeschlossen.In einem weiteren Posting (28.06.) wurde sich diskriminierend gegenüber einem Travestie-Künstler geäußert. Es wurde sich für eine „traditionelle Familie von Mutter – Vater – Kind“ und gegen den „Einheitsbrei und Genderterror“ ausgesprochen.",Facebook-Seite der NPD KV 8 Pankow vom 28.06.2014,other,52.5287836,13.43764116835994,Unknown,yes,Unknown,Unknown
